Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250802_143629_w22zx,"peter",countdown,144,2025-08-02T02:37:50.474Z,Down,1432,"0,0,32,128,0,0,16,4,2,16,8,64,2,4,4,32",501,1,1,false
20250802_143629_w22zx,"peter",countdown,145,2025-08-02T02:37:51.898Z,Left,1448,"0,2,32,128,0,0,16,4,2,16,8,64,0,2,8,32",1424,1,1,false
20250802_143629_w22zx,"peter",countdown,146,2025-08-02T02:37:52.580Z,Down,1488,"2,2,32,128,0,16,16,4,2,2,16,64,0,0,0,32",682,1,3,false
20250802_143629_w22zx,"peter",countdown,147,2025-08-02T02:37:53.840Z,Right,1560,"2,4,32,128,0,0,32,4,0,4,16,64,0,0,0,32",1260,1,2,false
20250802_143629_w22zx,"peter",countdown,148,2025-08-02T02:37:54.339Z,Down,1688,"0,0,0,128,0,2,0,4,0,0,64,64,2,8,16,32",499,1,1,false
20250802_143629_w22zx,"peter",countdown,149,2025-08-02T02:37:55.386Z,Down,1692,"0,0,0,128,0,2,2,4,0,0,0,128,2,8,16,32",1047,1,1,false
20250802_143629_w22zx,"peter",countdown,150,2025-08-02T02:37:55.554Z,Down,1700,"0,0,0,128,0,2,4,4,0,0,0,128,2,8,16,32",168,1,1,false
20250802_143629_w22zx,"peter",countdown,151,2025-08-02T02:37:55.839Z,Down,1700,"2,0,0,128,0,0,2,8,0,0,0,128,2,8,16,32",285,1,0,false
20250802_143629_w22zx,"peter",countdown,152,2025-08-02T02:37:56.958Z,Left,1704,"0,0,2,128,0,0,2,8,0,0,2,128,2,8,16,32",1119,1,1,false
20250802_143629_w22zx,"peter",countdown,153,2025-08-02T02:37:57.545Z,Right,1708,"2,8,4,128,0,0,2,8,0,0,16,128,2,0,0,32",587,1,1,false
20250802_143629_w22zx,"peter",countdown,154,2025-08-02T02:37:58.339Z,Right,1716,"0,0,4,128,0,0,4,8,0,0,2,128,4,8,16,32",794,1,1,false
20250802_143629_w22zx,"peter",countdown,155,2025-08-02T02:37:58.757Z,Down,1736,"0,0,0,128,0,0,8,8,0,2,2,128,4,8,16,32",418,1,2,false
20250802_143629_w22zx,"peter",countdown,156,2025-08-02T02:37:59.401Z,Left,1736,"0,0,0,128,0,0,0,16,2,0,4,128,4,8,16,32",644,1,0,false
20250802_143629_w22zx,"peter",countdown,157,2025-08-02T02:37:59.829Z,Down,1768,"2,8,4,128,4,0,16,16,0,0,2,128,0,0,0,32",428,1,1,false
20250802_143629_w22zx,"peter",countdown,158,2025-08-02T02:38:00.697Z,Left,1776,"2,8,4,128,0,0,4,32,0,0,2,128,0,2,0,32",868,1,1,false
20250802_143629_w22zx,"peter",countdown,159,2025-08-02T02:38:01.171Z,Down,1796,"2,8,8,128,0,2,2,32,0,0,2,128,0,0,0,32",474,1,2,false
20250802_143629_w22zx,"peter",countdown,160,2025-08-02T02:38:01.564Z,Right,1800,"0,2,16,128,0,2,4,32,0,0,2,128,0,0,0,32",393,1,1,false
